"","age.group","networth","status","credit_rating","class.prospect"
"1","youth","high","employed","fair","no"
"2","youth","high","employed","excellent","no"
"3","middle","high","employed","fair","yes"
"4","senior","medium","employed","fair","yes"
"5","senior","low","unemployed","fair","yes"
"6","senior","low","unemployed","excellent","no"
"7","middle","low","unemployed","excellent","yes"
"8","youth","medium","employed","fair","no"
"9","youth","low","unemployed","fair","yes"
"10","senior","medium","unemployed","fair","yes"
"11","youth","medium","unemployed","excellent","yes"
"12","middle","medium","employed","excellent","yes"
"13","middle","high","unemployed","fair","yes"
"14","senior","medium","employed","excellent","no"
