"","X","Y","label"
"1",5,"      a","      BLUE"
"2",5,"      b","      BLACK"
"3",5,"      c","      BLUE"
"4",5,"      d","      BLACK"
"5",5,"      e","      BLACK"
"6",5,"      f","      BLACK"
"7",19,"     a","      BLUE"
"8",19,"     b","      BLUE"
"9",19,"     c","      BLUE"
"10",19,"     d","      BLUE"
"11",19,"     e","      BLACK"
"12",19,"     f","      BLUE"
"13",35,"     a","      BLACK"
"14",35,"     b","      BLACK"
"15",35,"     c","      BLUE"
"16",35,"     d","      BLACK"
"17",35,"     e","      BLACK"
"18",35,"     f","      BLACK"
"19",51,"     a","      BLACK"
"20",51,"     b","      BLACK"
"21",51,"     c","      BLUE"
"22",51,"     d","      BLACK"
"23",51,"     e","      BLACK"
"24",51,"     f","      BLACK"
"25",55,"     a","      BLACK"
"26",55,"     b","      BLACK"
"27",55,"     c","      BLACK"
"28",55,"     d","      BLACK"
"29",55,"     e","      BLACK"
"30",55,"     f","      BLACK"
"31",63,"     a","      BLACK"
"32",63,"     b","      BLUE"
"33",63,"     c","      BLUE"
"34",63,"     d","      BLUE"
"35",63,"     e","      BLUE"
"36",63,"     f","      BLUE"
